FECHA (YYMMDD);HORA (HHMM);Registros validados;
040110;1600;3,32123;
040110;1700;3,33608;
040110;1800;3,10653;
040110;1900;2,33349;
040110;2000;1,40564;
040110;2100;0,843507;
040110;2200;0,957697;
040110;2300;0,768103;
040111;0000;0,79285;
040111;0100;0,844277;
040111;0200;0,577414;
040111;0300;0,17517;
040111;0400;0,417188;
040111;0500;0,416617;
040111;0600;0,353308;
040111;0700;1,01112;
040111;0800;1,34724;
040111;0900;1,227;
040111;1000;1,48586;
040111;1100;2,40553;
040111;1200;3,31538;
040111;1300;3,61444;
040111;1400;4,0928;
040111;1500;3,868;
040111;1600;3,75556;
040111;1700;3,27016;
040111;1800;3,24424;
040111;1900;2,43237;
040111;2000;2,39785;
040111;2100;1,4607;
040111;2200;0,826241;
040111;2300;0,977918;
040112;0000;1,20023;
040112;0100;0,938044;
040112;0200;0,685455;
040112;0300;0,837331;
040112;0400;0,6797;
040112;0500;0,56146;
040112;0600;0,97331;
040112;0700;1,29108;
040112;0800;1,40741;
040112;0900;1,44381;
040112;1000;2,00103;
040112;1100;2,29855;
040112;1200;2,47565;
040112;1300;3,51446;
040112;1400;3,53496;
040112;1500;3,63066;
040112;1600;3,27326;
040112;1700;3,49298;
040112;1800;2,96254;
040112;1900;2,59166;
040112;2000;2,30275;
040112;2100;1,46;
040112;2200;0,873932;
040112;2300;1,21255;
040113;0000;0,701035;
040113;0100;0,941065;
040113;0200;0,750891;
040113;0300;0,321837;
040113;0400;0,0790687;
040113;0500;0,33278;
040113;0600;0,313788;
040113;0700;0,778471;
040113;0800;1,33692;
040113;0900;0,705811;
040113;1000;1,70556;
040113;1100;2,01912;
040113;1200;2,45753;
040113;1300;3,45607;
040113;1400;3,33667;
040113;1500;3,8358;
040113;1600;3,58366;
040113;1700;3,91895;
040113;1800;3,4146;
040113;1900;2,6039;
040113;2000;2,16983;
040113;2100;1,71549;
040113;2200;1,14291;
040113;2300;1,23214;
040114;0000;0,864904;
040114;0100;0,696797;
040114;0200;0,600738;
040114;0300;0,675899;
040114;0400;0,731995;
040114;0500;0,925488;
040114;0600;0,808208;
040114;0700;1,58248;
040114;0800;1,66523;
040114;0900;1,95513;
040114;1000;2,67567;
040114;1100;3,13739;
040114;1200;3,52337;
040114;1300;4,20348;
040114;1400;3,75513;
040114;1500;3,35913;
040114;1600;3,28816;
040114;1700;3,17173;
040114;1800;2,87732;
040114;1900;2,59548;
040114;2000;1,61724;
040114;2100;1,23485;
040114;2200;1,24854;
040114;2300;1,07985;
040115;0000;1,18065;
040115;0100;0,84749;
040115;0200;1,37031;
040115;0300;1,81001;
040115;0400;1,636;
040115;0500;1,22047;
040115;0600;1,41007;
040115;0700;1,19967;
040115;0800;1,09389;
040115;0900;1,33921;
040115;1000;1,25817;
040115;1100;1,86967;
040115;1200;2,41928;
040115;1300;2,59457;
040115;1400;2,30123;
040115;1500;2,76218;
040115;1600;2,80355;
040115;1700;3,24469;
040115;1800;2,72533;
040115;1900;2,35959;
040115;2000;2,15546;
040115;2100;1,93122;
040115;2200;1,62581;
040115;2300;0,915397;
040116;0000;1,47521;
040116;0100;1,45338;
040116;0200;1,17429;
040116;0300;1,25535;
040116;0400;1,07007;
040116;0500;1,08287;
040116;0600;1,27443;
040116;0700;1,32722;
040116;0800;1,23486;
040116;0900;1,03565;
040116;1000;1,31611;
040116;1100;2,36359;
040116;1200;2,91069;
040116;1300;3,12819;
040116;1400;3,26096;
040116;1500;3,29271;
040116;1600;2,84089;
040116;1700;2,79319;
040116;1800;2,6619;
040116;1900;2,25661;
040116;2000;1,90947;
040116;2100;1,29777;
040116;2200;0,968966;
040116;2300;1,07626;
040117;0000;0,860332;
040117;0100;0,514854;
040117;0200;0,632561;
040117;0300;0,852367;
040117;0400;1,00753;
040117;0500;0,41433;
040117;0600;0,414836;
040117;0700;0,492312;
040117;0800;1,42453;
040117;0900;1,40353;
040117;1000;1,11133;
040117;1100;0,960361;
040117;1200;1,96587;
040117;1300;2,96149;
040117;1400;3,52647;
040117;1500;4,1288;
040117;1600;4,01128;
040117;1700;3,60409;
040117;1800;3,22559;
040117;1900;2,90726;
040117;2000;2,23124;
040117;2100;1,63836;
040117;2200;1,53697;
040117;2300;1,40892;
040118;0000;1,02099;
040118;0100;0,999002;
040118;0200;0,977468;
040118;0300;1,00864;
040118;0400;0,395784;
040118;0500;0,368329;
040118;0600;0,751921;
040118;0700;0,427956;
040118;0800;0,909496;
040118;0900;0,882936;
040118;1000;1,45114;
040118;1100;1,97375;
040118;1200;2,67308;
040118;1300;2,92309;
040118;1400;3,07813;
040118;1500;3,77924;
040118;1600;3,50396;
040118;1700;3,53273;
040118;1800;3,44901;
040118;1900;2,63569;
040118;2000;2,59831;
040118;2100;1,83157;
040118;2200;1,15828;
040118;2300;0,898373;
040119;0000;0,457671;
040119;0100;0,609387;
040119;0200;0,284757;
040119;0300;0,939587;
040119;0400;0,623807;
040119;0500;0,432982;
040119;0600;0,495149;
040119;0700;0,722869;
040119;0800;1,06497;
040119;0900;1,28725;
040119;1000;1,06348;
040119;1100;1,97936;
040119;1200;2,49793;
040119;1300;2,89343;
040119;1400;3,07901;
