FECHA (YYMMDD);HORA (HHMM);Registros validados;
040111;0000;37,1666;
040111;0100;43,25;
040111;0200;48,1666;
040111;0300;51,0833;
040111;0400;52,1666;
040111;0500;55,6666;
040111;0600;51,4166;
040111;0700;39,3333;
040111;0800;35,6666;
040111;0900;29,4167;
040111;1000;25,3333;
040111;1100;25,1667;
040111;1200;25,6667;
040111;1300;25,25;
040111;1400;24,25;
040111;1500;25,5;
040111;1600;28,6667;
040111;1700;29,25;
040111;1800;29,1667;
040111;1900;32,9166;
040111;2000;40;
040111;2100;43,4166;
040111;2200;44,4166;
040111;2300;44,9166;
040112;0000;45,8333;
040112;0100;51,5;
040112;0200;55,5;
040112;0300;58,25;
040112;0400;63,5833;
040112;0500;67,0833;
040112;0600;66,5;
040112;0700;60,25;
040112;0800;48,75;
040112;0900;39,75;
040112;1000;34,9166;
040112;1100;29,9167;
040112;1200;27,8333;
040112;1300;33,4166;
040112;1400;33,3333;
040112;1500;34,9166;
040112;1600;35,75;
040112;1700;39,9166;
040112;1800;45,25;
040112;1900;53,3333;
040112;2000;58,0833;
040112;2100;59,8333;
040112;2200;61,5;
040112;2300;65,1664;
040113;0000;67,6664;
040113;0100;68,5;
040113;0200;71,6664;
040113;0300;75,25;
040113;0400;74,3333;
040113;0500;76,8333;
040113;0600;71,3333;
040113;0700;59;
040113;0800;53,6666;
040113;0900;46,4166;
040113;1000;43,25;
040113;1100;42,5833;
040113;1200;39,8333;
040113;1300;37,9166;
040113;1400;35,0833;
040113;1500;36,5833;
040113;1600;40,6666;
040113;1700;46,25;
040113;1800;52,5833;
040113;1900;60,5;
040113;2000;64,5833;
040113;2100;67,4164;
040113;2200;68,75;
040113;2300;71,25;
040114;0000;73,0833;
040114;0100;75,5833;
040114;0200;77,0833;
040114;0300;79,1664;
040114;0400;82,5833;
040114;0500;84,0833;
040114;0600;82,0833;
040114;0700;74;
040114;0800;67,75;
040114;0900;61,9166;
040114;1000;57,3333;
040114;1100;55,3333;
040114;1200;53,0833;
040114;1300;54,1666;
040114;1400;52,5;
040114;1500;50,25;
040114;1600;51;
040114;1700;51,25;
040114;1800;51,8333;
040114;1900;56,3333;
040114;2000;61,75;
040114;2100;65,6664;
040114;2200;68,4164;
040114;2300;71,6664;
040115;0000;73,1664;
040115;0100;74,4164;
040115;0200;76,6664;
040115;0300;84,25;
040115;0400;86;
040115;0500;86,4167;
040115;0600;87,5833;
040115;0700;82,5833;
040115;0800;75,5;
040115;0900;71,0833;
040115;1000;65,5833;
040115;1100;58,6666;
040115;1200;54,5;
040115;1300;50,1666;
040115;1400;46,1666;
040115;1500;44,3333;
040115;1600;49;
040115;1700;55,6666;
040115;1800;60,5;
040115;1900;65,5833;
040115;2000;71,8333;
040115;2100;74,5833;
040115;2200;76,25;
040115;2300;77;
040116;0000;79,0833;
040116;0100;80,5833;
040116;0200;81,6664;
040116;0300;82,5833;
040116;0400;82,8333;
040116;0500;84,5833;
040116;0600;83,4164;
040116;0700;80,0833;
040116;0800;76,5;
040116;0900;69;
040116;1000;60,6666;
040116;1100;59;
040116;1200;57,25;
040116;1300;54,5833;
040116;1400;52,9166;
040116;1500;52;
040116;1600;52,1666;
040116;1700;52,0833;
040116;1800;55,6666;
040116;1900;59,1666;
040116;2000;63,0833;
040116;2100;65,9164;
040116;2200;68,5833;
040116;2300;70,5;
040117;0000;72,1664;
040117;0100;74,75;
040117;0200;76,0833;
040117;0300;77,0833;
040117;0400;79,25;
040117;0500;81,0833;
040117;0600;79,1664;
040117;0700;67,25;
040117;0800;63,6666;
040117;0900;57,4166;
040117;1000;50,25;
040117;1100;44,9166;
040117;1200;42,25;
040117;1300;36,8333;
040117;1400;33,1666;
040117;1500;37,8333;
040117;1600;37;
040117;1700;37,8333;
040117;1800;43;
040117;1900;51,5;
040117;2000;57,0833;
040117;2100;61,4166;
040117;2200;63;
040117;2300;66,0833;
040118;0000;67,9164;
040118;0100;70,25;
040118;0200;72,1664;
040118;0300;74,5;
040118;0400;77,4164;
040118;0500;79,9164;
040118;0600;76,6664;
040118;0700;71,5;
040118;0800;59,4166;
040118;0900;54,0833;
040118;1000;46,4166;
040118;1100;43,0833;
040118;1200;39,8333;
040118;1300;33,25;
040118;1400;33,0833;
040118;1500;33,1666;
040118;1600;29,9167;
040118;1700;30,0833;
040118;1800;34,25;
040118;1900;42,0833;
040118;2000;45,8333;
040118;2100;46,3333;
040118;2200;46,5833;
