FECHA (YYMMDD);HORA (HHMM);Registros validados;
040110;2200;23,5333;
040110;2300;22,5083;
040111;0000;21,8167;
040111;0100;20,6333;
040111;0200;19,4;
040111;0300;18,5333;
040111;0400;18,0083;
040111;0500;17,525;
040111;0600;19,6666;
040111;0700;22,6833;
040111;0800;24,4583;
040111;0900;27,4666;
040111;1000;29,7583;
040111;1100;30,7166;
040111;1200;31,1083;
040111;1300;31,575;
040111;1400;31,5417;
040111;1500;31,475;
040111;1600;30,4083;
040111;1700;29,3666;
040111;1800;27,85;
040111;1900;25,7833;
040111;2000;23,3583;
040111;2100;21,8583;
040111;2200;21;
040111;2300;20,2416;
040112;0000;19,4583;
040112;0100;18,2;
040112;0200;17,2333;
040112;0300;16,8083;
040112;0400;15,9333;
040112;0500;15,6333;
040112;0600;16,4;
040112;0700;18,4333;
040112;0800;21,0166;
040112;0900;23,7583;
040112;1000;25,5583;
040112;1100;27,6;
040112;1200;29,2833;
040112;1300;29,175;
040112;1400;29,0916;
040112;1500;28,9916;
040112;1600;29,0916;
040112;1700;27,5416;
040112;1800;25,5;
040112;1900;22,8416;
040112;2000;20,825;
040112;2100;20,0333;
040112;2200;19,6;
040112;2300;18,675;
040113;0000;17,95;
040113;0100;17,7666;
040113;0200;17,0667;
040113;0300;16,4333;
040113;0400;16,8416;
040113;0500;16,3;
040113;0600;18;
040113;0700;21,275;
040113;0800;22,8833;
040113;0900;25,7583;
040113;1000;27;
040113;1100;28,5166;
040113;1200;29,75;
040113;1300;30,2583;
040113;1400;;
040113;1500;;
040113;1600;;
040113;1700;;
040113;1800;;
040113;1900;;
040113;2000;;
040113;2100;;
040113;2200;;
040113;2300;;
040114;0000;;
040114;0100;;
040114;0200;;
040114;0300;;
040114;0400;;
040114;0500;;
040114;0600;;
040114;0700;;
040114;0800;;
040114;0900;;
040114;1000;;
040114;1100;;
040114;1200;;
040114;1300;;
040114;1400;;
040114;1500;;
040114;1600;;
040114;1700;;
040114;1800;;
040114;1900;;
040114;2000;;
040114;2100;;
040114;2200;;
040114;2300;;
040115;0000;;
040115;0100;;
040115;0200;;
040115;0300;;
040115;0400;;
040115;0500;;
040115;0600;;
040115;0700;;
040115;0800;;
040115;0900;;
040115;1000;;
040115;1100;;
040115;1200;;
040115;1300;;
040115;1400;;
040115;1500;;
040115;1600;;
040115;1700;;
040115;1800;;
040115;1900;;
040115;2000;;
040115;2100;;
040115;2200;;
040115;2300;;
040116;0000;;
040116;0100;;
040116;0200;;
040116;0300;;
040116;0400;;
040116;0500;;
040116;0600;;
040116;0700;;
040116;0800;;
040116;0900;;
040116;1000;;
040116;1100;;
040116;1200;;
040116;1300;;
040116;1400;;
040116;1500;;
040116;1600;;
040116;1700;;
040116;1800;;
040116;1900;;
040116;2000;;
040116;2100;;
040116;2200;;
040116;2300;;
040117;0000;;
040117;0100;;
040117;0200;;
040117;0300;;
040117;0400;;
040117;0500;;
040117;0600;;
040117;0700;;
040117;0800;;
040117;0900;;
040117;1000;;
040117;1100;;
040117;1200;;
040117;1300;;
040117;1400;;
040117;1500;;
040117;1600;;
040117;1700;;
040117;1800;;
040117;1900;;
040117;2000;;
040117;2100;;
040117;2200;;
040117;2300;;
040118;0000;15,55;
040118;0100;15;
040118;0200;14,5667;
040118;0300;13,8833;
040118;0400;13,2167;
040118;0500;12,9417;
040118;0600;13,5417;
040118;0700;14,9833;
040118;0800;18,5;
040118;0900;20,5833;
040118;1000;23,3666;
040118;1100;24,9417;
040118;1200;26,0083;
040118;1300;27,3416;
040118;1400;27,9;
040118;1500;27,6833;
040118;1600;27,1917;
040118;1700;26,3416;
040118;1800;24,5916;
040118;1900;21,8833;
040118;2000;19,8;
040118;2100;18,4333;
040118;2200;17,575;
040118;2300;16,85;
040119;0000;16,1166;
040119;0100;15,2666;
040119;0200;14,525;
040119;0300;13,7833;
040119;0400;12,7666;
040119;0500;12,1667;
040119;0600;13,4417;
040119;0700;17,1583;
040119;0800;19,425;
040119;0900;21,575;
040119;1000;23,8833;
040119;1100;25,4666;
040119;1200;26,6083;
040119;1300;27,6;
040119;1400;28,1833;
040119;1500;28,7166;
040119;1600;28,8333;
040119;1700;27,0916;
040119;1800;24,3167;
040119;1900;21,0833;
040119;2000;18,1166;
040119;2100;16,25;
040119;2200;15,375;
040119;2300;14,8083;
040120;0000;13,9167;
040120;0100;12,3417;
040120;0200;11,1;
040120;0300;10,3667;
040120;0400;9,86664;
040120;0500;9,72498;
040120;0600;10,65;
040120;0700;13,5417;
040120;0800;15,3916;
040120;0900;17,875;
040120;1000;20,9;
040120;1100;22,4583;
040120;1200;24,3666;
040120;1300;25,925;
040120;1400;27;
040120;1500;27,525;
040120;1600;27,0333;
040120;1700;25,625;
040120;1800;24,2833;
040120;1900;21,8416;
040120;2000;19,6917;
040120;2100;18,7;
040120;2200;17,9083;
040120;2300;17,4333;
040121;0000;16,9083;
040121;0100;16,6333;
040121;0200;15,6333;
040121;0300;14,4833;
040121;0400;13,6917;
040121;0500;13,7583;
040121;0600;14,875;
040121;0700;17,1917;
040121;0800;19,3666;
040121;0900;22;
040121;1000;23,95;
040121;1100;25,6583;
040121;1200;26,525;
040121;1300;26,85;
040121;1400;27,2166;
040121;1500;26,6583;
040121;1600;25,75;
040121;1700;23,7083;
040121;1800;21,8;
040121;1900;19,6083;
040121;2000;17,5916;
040121;2100;16,5083;
040121;2200;15,875;
040121;2300;15,6333;
040122;0000;15,4917;
040122;0100;15,0917;
040122;0200;13,3667;
040122;0300;12,3083;
040122;0400;11,825;
040122;0500;11,5667;
040122;0600;11,8667;
040122;0700;14,325;
040122;0800;17,3666;
040122;0900;19,125;
040122;1000;21,2;
040122;1100;23,2;
040122;1200;23,9;
040122;1300;24,7833;
040122;1400;25,3;
040122;1500;25,5916;
040122;1600;25,3583;
040122;1700;24,0166;
040122;1800;22,475;
040122;1900;19,8916;
040122;2000;18,025;
040122;2100;16,85;
040122;2200;16,175;
040122;2300;15,4917;
040123;0000;14,8667;
040123;0100;14,35;
040123;0200;13,675;
040123;0300;13,2333;
040123;0400;12,4417;
040123;0500;11,6083;
040123;0600;11,8916;
040123;0700;14,8667;
040123;0800;16,175;
040123;0900;18,0667;
040123;1000;19,5833;
040123;1100;21,8083;
040123;1200;23,0833;
040123;1300;23,35;
040123;1400;24,4167;
040123;1500;25,4333;
040123;1600;25,1583;
040123;1700;23,55;
040123;1800;21,6083;
040123;1900;19,7083;
040123;2000;17,9666;
040123;2100;16,9833;
040123;2200;16,275;
040123;2300;15,5166;
040124;0000;14,85;
040124;0100;14,5417;
040124;0200;14;
040124;0300;13,0833;
040124;0400;12,3916;
040124;0500;12,275;
040124;0600;12,7333;
040124;0700;17,2333;
040124;0800;18,4916;
040124;0900;20,5667;
040124;1000;22,6583;
040124;1100;25,075;
040124;1200;25,9166;
040124;1300;26,425;
040124;1400;26,7916;
040124;1500;26,5333;
040124;1600;25,6583;
040124;1700;24,6833;
040124;1800;23,1166;
040124;1900;20,6333;
040124;2000;18,5;
040124;2100;16,95;
040124;2200;16,425;
040124;2300;15,9916;
040125;0000;15,325;
040125;0100;14,2666;
040125;0200;13,3417;
040125;0300;12,7583;
040125;0400;12,2167;
040125;0500;11,825;
040125;0600;12,7417;
040125;0700;16,6166;
040125;0800;19,4583;
040125;0900;21,4;
040125;1000;23,4;
040125;1100;24,6416;
040125;1200;25,25;
040125;1300;25,7583;
040125;1400;26,6333;
040125;1500;27,275;
040125;1600;27,1583;
040125;1700;25,7583;
040125;1800;23,875;
040125;1900;21,575;
040125;2000;19,75;
040125;2100;18,3916;
040125;2200;17,5833;
040125;2300;17,0417;
040126;0000;16,7666;
040126;0100;15,8083;
040126;0200;15,0917;
040126;0300;14,4917;
040126;0400;14,0333;
040126;0500;13,9;
040126;0600;13,7833;
040126;0700;16,6833;
040126;0800;19,2583;
040126;0900;21,4333;
040126;1000;23,425;
040126;1100;25,2083;
040126;1200;25,975;
040126;1300;27,25;
040126;1400;28,25;
040126;1500;28,55;
040126;1600;27,775;
040126;1700;26,3833;
040126;1800;24,6083;
040126;1900;21,9417;
040126;2000;20,0667;
040126;2100;19,0667;
040126;2200;18,3666;
040126;2300;17,9666;
040127;0000;17,5916;
040127;0100;17,3833;
040127;0200;16,4417;
040127;0300;15,0833;
040127;0400;14,2666;
040127;0500;14,05;
040127;0600;14,0333;
040127;0700;17,2666;
040127;0800;20,2833;
040127;0900;21,8833;
040127;1000;25,0333;
040127;1100;26,6;
040127;1200;27,4166;
040127;1300;27,7583;
040127;1400;28,3583;
040127;1500;28,9333;
040127;1600;28,6583;
040127;1700;27,3583;
